id,title,source,published_date,url,summary,category,is_real
1,Regulators Review Approval Pathway for AI Diagnostic Support Tools,Fieldnote,2025-10-27,https://fieldnote.example.com/2025/regulators-review-approval-pathway-for-ai-diagnostic-support,Health regulators opened a comment period on proposed rules for approving software that assists with diagnostic decisions.,Healthcare,False
2,Farmers in the Pacific Northwest Adopt AI Crop-Monitoring Drones,OpenLedger News,2025-03-09,https://openledgernews.example.com/2025/farmers-in-the-pacific-northwest-adopt-ai-crop-monitoring-dr,Growers in the Pacific Northwest began using drone-mounted sensors paired with AI models to detect early signs of crop stress.,Agriculture,False
3,Court in Spokane Weighs Rules for AI-Generated Legal Filings,Meridian Press,2025-11-17,https://meridianpress.example.com/2025/court-in-spokane-weighs-rules-for-ai-generated-legal-filings,A Spokane court began drafting local guidance on disclosure requirements for filings drafted with AI assistance.,Legal,False
4,University Researchers Study Impact of AI Writing Aids on Learning,The Quarterly Byte,2026-04-10,https://thequarterlybyte.example.com/2026/university-researchers-study-impact-of-ai-writing-aids-on-le,A university research group published early findings on how AI writing assistants affect student revision habits.,Education,False
5,Federal Agency Releases Framework for Responsible AI Procurement,Meridian Press,2025-01-13,https://meridianpress.example.com/2025/federal-agency-releases-framework-for-responsible-ai-procure,A federal agency published a framework meant to guide how government offices evaluate and procure AI systems.,Government,False
6,Law Firm Pinehill Community Fund Deploys AI for Contract Review Across Practice Groups,Fieldnote,2025-12-05,https://fieldnote.example.com/2025/law-firm-pinehill-community-fund-deploys-ai-for-contract-rev,"Pinehill Community Fund expanded its use of an AI contract-review tool, citing faster turnaround on routine commercial agreements.",Legal,False
7,Pinehill Community Fund Open-Sources Dataset for Evaluating Model Robustness,Global Insight,2024-09-09,https://globalinsight.example.com/2024/pinehill-community-fund-open-sources-dataset-for-evaluating,Pinehill Community Fund released a curated dataset intended to help labs evaluate how models handle adversarial and out-of-distribution inputs.,Research,False
8,Study Finds AI Screening Tool Flags Early Signs in Imaging Review,Meridian Press,2024-08-18,https://meridianpress.example.com/2024/study-finds-ai-screening-tool-flags-early-signs-in-imaging-r,A clinical study found that an AI-assisted imaging review tool flagged findings that warranted earlier follow-up in a subset of cases.,Healthcare,False
9,Ashford University Trials AI Model to Predict Regional Yield Variability,The Quarterly Byte,2024-02-25,https://thequarterlybyte.example.com/2024/ashford-university-trials-ai-model-to-predict-regional-yield,Ashford University began field trials of a model that combines soil and weather data to predict yield variability at the county level.,Agriculture,False
10,Farmers in the Midwest Adopt AI Crop-Monitoring Drones,Fieldnote,2025-07-07,https://fieldnote.example.com/2025/farmers-in-the-midwest-adopt-ai-crop-monitoring-drones,Growers in the Midwest began using drone-mounted sensors paired with AI models to detect early signs of crop stress.,Agriculture,False
11,Bar Association Issues Guidance on AI Use in Client Communications,The Signal Wire,2024-02-16,https://thesignalwire.example.com/2024/bar-association-issues-guidance-on-ai-use-in-client-communic,The state bar association published guidance clarifying when attorneys must disclose AI involvement in client-facing work.,Legal,False
12,Supply Chain Firms Test AI for Shipment Delay Prediction,Global Insight,2025-11-18,https://globalinsight.example.com/2025/supply-chain-firms-test-ai-for-shipment-delay-prediction,"Logistics providers began testing models that predict shipment delays using weather, port, and carrier data.",Industry,False
13,Bar Association Issues Guidance on AI Use in Client Communications,Meridian Press,2026-06-06,https://meridianpress.example.com/2026/bar-association-issues-guidance-on-ai-use-in-client-communic,The state bar association published guidance clarifying when attorneys must disclose AI involvement in client-facing work.,Legal,False
14,Bar Association Issues Guidance on AI Use in Client Communications,Meridian Press,2026-04-21,https://meridianpress.example.com/2026/bar-association-issues-guidance-on-ai-use-in-client-communic,The state bar association published guidance clarifying when attorneys must disclose AI involvement in client-facing work.,Legal,False
15,Columbus City Council Approves Pilot for AI-Assisted 311 Requests,The Quarterly Byte,2025-07-20,https://thequarterlybyte.example.com/2025/columbus-city-council-approves-pilot-for-ai-assisted-311-req,The Columbus city council approved a pilot program routing non-emergency service requests through an AI triage system.,Government,False
16,Nova Grant Alliance Pilots AI Tutoring Assistant in After-School Program,The Forward Line,2025-12-11,https://theforwardline.example.com/2025/nova-grant-alliance-pilots-ai-tutoring-assistant-in-after-sc,Nova Grant Alliance began piloting an AI tutoring assistant to support students in math and reading comprehension after school.,Education,False
17,AI-Powered Grant Writing Assistant Rolled Out for Community Groups,Northbridge Journal,2024-10-11,https://northbridgejournal.example.com/2024/ai-powered-grant-writing-assistant-rolled-out-for-community,A coalition of community foundations began testing an AI assistant that helps grassroots groups draft grant proposals.,Nonprofit,False
18,Researchers at Clearwater District Publish Benchmark for Long-Context Reasoning,Civic Wire,2025-06-25,https://civicwire.example.com/2025/researchers-at-clearwater-district-publish-benchmark-for-lon,A team at Clearwater District released a new benchmark dataset designed to test how well language models reason over long documents.,Research,False
